description,category
Minor fender bender in parking lot,Low Severity
House flooded due to heavy rain,High Severity
"Claim for expensive electronics stolen from car, no sign of forced entry",Potential Fraud
Minor car scratch ,Low Severity
Water pipe leakage lead to water flow in the entire room,High Severity
High amount of claim through salvage,Potential Fraud
Parked car got hit by a bike and no injury reported,Low Severity
Heavy rainfall lead to water flow into the suburb area,High Severity
Major fender bender in parking lot,High Severity
House not flooded due to rain,Low Severity
"Claim for expensive electronics stolen from truck, no sign of forced entry",Potential Fraud
Minor car scratch in hand,Low Severity
Water pipe leakage lead to water flow in the hallway room,High Severity
High amount of claim through subrogation,Potential Fraud
Parked car got hit by a car and no injury reported,Low Severity
Heavy rainfall lead to water flow into the town area,High Severity
